Record ID,Field,Sensitivity Label,Protection Action,Policy Rule ID,Protected Value,Release Decision,Reason
1,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
1,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_K1V4],Released,"Supplier, batch, and machine identifiers pseudonymized"
1,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_DIT2],Released,"Supplier, batch, and machine identifiers pseudonymized"
1,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_Y998],Released,"Supplier, batch, and machine identifiers pseudonymized"
1,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
1,Defect Severity,Restricted,Placeholder Mask,R4,[HIGH_SEVERITY],Released,Personal identifier masked with a placeholder
1,Defect Rate,Restricted,Generalize,R2,5-10%,Released,Sensitive value generalized to reduce disclosure risk
1,Process Parameter,Restricted,Generalize,R2,10-15 mm/s,Released,Sensitive value generalized to reduce disclosure risk
1,Maintenance Note,Restricted,Generalize,R2,Mechanical wear observed,Released,Sensitive value generalized to reduce disclosure risk
1,Root-Cause Note,Restricted,Generalize,R2,Mechanical wear observed,Released,Sensitive value generalized to reduce disclosure risk
1,Corrective Action,Internal,Generalize,R2,Maintenance action required,Released,Sensitive value generalized to reduce disclosure risk
1,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
1,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
1,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
1,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
2,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
2,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_H8HP],Released,"Supplier, batch, and machine identifiers pseudonymized"
2,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_SIZO],Released,"Supplier, batch, and machine identifiers pseudonymized"
2,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_695B],Released,"Supplier, batch, and machine identifiers pseudonymized"
2,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
2,Defect Severity,Restricted,Placeholder Mask,R4,[HIGH_SEVERITY],Released,Personal identifier masked with a placeholder
2,Defect Rate,Restricted,Generalize,R2,5-10%,Released,Sensitive value generalized to reduce disclosure risk
2,Process Parameter,Restricted,Generalize,R2,5-10 mm/s,Released,Sensitive value generalized to reduce disclosure risk
2,Maintenance Note,Restricted,Generalize,R2,Corrosion observed,Released,Sensitive value generalized to reduce disclosure risk
2,Root-Cause Note,Restricted,Generalize,R2,Pressure error observed,Released,Sensitive value generalized to reduce disclosure risk
2,Corrective Action,Internal,Generalize,R2,Batch viscosity error observed,Released,Sensitive value generalized to reduce disclosure risk
2,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
2,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
2,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
2,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
3,Quality Log ID,Restricted,Placeholder Mask,R4,[QUALITY_LOG_ID],Released,Personal identifier masked with a placeholder
3,Supplier ID,Confidential,Hash Pseudonymize,R3,[SUPPLIER_QC9B],Released,"Supplier, batch, and machine identifiers pseudonymized"
3,Batch ID,Restricted,Hash Pseudonymize,R3,[BATCH_U36V],Released,"Supplier, batch, and machine identifiers pseudonymized"
3,Machine ID,Restricted,Hash Pseudonymize,R3,[MACHINE_Y998],Released,"Supplier, batch, and machine identifiers pseudonymized"
3,Defect Type,Internal,Keep,R1,Defect Type,Released,"Analytically necessary, lower-risk value retained"
3,Defect Severity,Restricted,Placeholder Mask,R4,[HIGH_SEVERITY],Released,Personal identifier masked with a placeholder
3,Defect Rate,Restricted,Generalize,R2,5-10%,Released,Sensitive value generalized to reduce disclosure risk
3,Process Parameter,Restricted,Generalize,R2,20-25 °C,Released,Sensitive value generalized to reduce disclosure risk
3,Maintenance Note,Restricted,Generalize,R2,Rail error observed,Released,Sensitive value generalized to reduce disclosure risk
3,Root-Cause Note,Restricted,Generalize,R2,Die error observed,Released,Sensitive value generalized to reduce disclosure risk
3,Corrective Action,Internal,Generalize,R2,Maintenance action required,Released,Sensitive value generalized to reduce disclosure risk
3,Shift ID,Internal,Keep,R1,Shift ID,Released,"Analytically necessary, lower-risk value retained"
3,Operator Name,Confidential,Placeholder Mask,R4,[OPERATOR_NAME],Released,Personal identifier masked with a placeholder
3,Customer/Order Information,Confidential,Block,R5,[BLOCKED],Blocked,Customer and order information blocked from release
3,Image Metadata,Restricted,Generalize,R2,Industrial camera image,Released,Sensitive value generalized to reduce disclosure risk
